Date,Time (UTC),rad(m)
2020-10-27,2020-10-27 11:59:30.000000000,-0.08424930555555583
2020-10-28,2020-10-28 11:59:30.000000000,-0.06150347222222251
2020-10-29,2020-10-29 11:59:30.000000000,-0.05372430555555583
2020-10-30,2020-10-30 11:59:30.000000000,-0.018692361111111392
2020-10-31,2020-10-31 11:59:30.000000000,-0.003566666666666946
2020-11-01,2020-11-01 11:56:18.717579264,-0.11122167718745815
2020-11-02,2020-11-02 11:59:30.000000000,-0.05777152777777814
2020-11-03,2020-11-03 11:59:30.000000000,-0.034350000000000366
2020-11-04,2020-11-04 11:59:30.000000000,0.0006249999999996462
2020-11-05,2020-11-05 11:59:30.000000000,-0.008636111111111469
2020-11-06,2020-11-06 11:59:30.000000000,-0.07804027777777814
2020-11-07,2020-11-07 11:57:38.356546048,-0.0446121169916438
2020-11-08,2020-11-08 11:59:30.000000000,-0.006799305555555927
2020-11-09,2020-11-09 11:59:30.000000000,-0.020091666666667018
2020-11-10,2020-11-10 11:59:40.194579456,-0.049116052814454844
2020-11-11,2020-11-11 11:59:30.000000000,-0.023641666666667015
2020-11-12,2020-11-12 11:58:26.234309632,-0.041646443514644714
2020-11-13,2020-11-13 11:59:30.000000000,-0.06045416666666702
2020-11-14,2020-11-14 11:59:30.000000000,-0.12401458333333368
2020-11-15,2020-11-15 11:59:30.000000000,-0.15534166666666702
2020-11-16,2020-11-16 11:59:30.000000000,-0.18467291666666705
2020-11-17,2020-11-17 11:59:30.000000000,-0.16570972222222258
2020-11-18,2020-11-18 11:59:30.000000000,-0.17371736111111147
2020-11-19,2020-11-19 11:59:30.000000000,-0.1927819444444448
2020-11-20,2020-11-20 11:59:30.000000000,-0.1625333333333337
2020-11-21,2020-11-21 11:59:30.000000000,-0.17756388888888924
2020-11-22,2020-11-22 11:59:30.000000000,-0.1745680555555559
2020-11-23,2020-11-23 11:59:30.000000000,-0.18614791666666702
2020-11-24,2020-11-24 11:59:30.000000000,-0.19024097222222258
2020-11-25,2020-11-25 11:59:30.000000000,-0.1808708333333337
2020-11-26,2020-11-26 11:59:30.000000000,-0.1738986111111115
2020-11-27,2020-11-27 12:00:35.774058496,-0.17761366806136714
2020-11-28,2020-11-28 11:59:30.000000000,-0.21812361111111148
2020-11-29,2020-11-29 11:59:30.000000000,-0.15521527777777813
2020-11-30,2020-11-30 11:59:30.000000000,-0.10115763888888925
2020-12-01,2020-12-01 11:59:30.000000000,-0.0910145833333333
2020-12-02,2020-12-02 11:59:30.000000000,-0.07693888888888885
2020-12-03,2020-12-03 11:59:30.000000000,-0.023611111111111076
2020-12-04,2020-12-04 11:59:30.000000000,-0.006994444444444403
2020-12-05,2020-12-05 11:59:30.000000000,0.0037486111111111418
2020-12-06,2020-12-06 11:59:30.000000000,0.01582291666666671
2020-12-07,2020-12-07 11:59:30.000000000,0.006350694444444469
